1602881129 425 0 0 0
1602882502 445 0 0 0
1602882707 445 0 0 0
1603285857 446 0 0 0
1604914631 479 0 0 0
1605537088 479 10 0 0
1605538870 479 31 0 0
1605539950 1108 31 0 0
1605540536 1108 41 0 0
1605541209 1108 41 0 0
1605541295 1108 41 0 0
1605543014 1108 41 1 0
1605543046 1116 41 1 0
1605543356 1116 41 1 0
1605545180 1116 41 11 0
1605545489 1116 41 19 0
1605546467 1116 41 433 0
1605546481 1116 41 596 0
1605548185 1756 41 596 0
1605548202 1756 41 596 0
1605549170 1765 41 596 0
1605551453 1765 490 596 0
1605551623 1765 615 596 0
1605552005 2363 615 596 0
1605552010 2363 615 596 0
1605556988 2440 615 596 0
1605558027 2454 615 596 0
1605558233 2804 615 596 0
