1602881129 1 0 0 0
1602882502 2 0 0 0
1602882707 2 0 0 1
1603285857 3 0 0 1
1604914631 4 0 0 1
1605537088 4 1 0 1
1605538870 4 2 0 1
1605539950 5 2 0 1
1605540536 5 3 0 1
1605541209 5 4 0 1
1605541295 5 5 0 1
1605543014 5 5 1 1
1605543046 6 5 1 1
1605543356 7 5 1 1
1605545180 7 5 2 1
1605545489 7 5 3 1
1605546467 7 5 4 1
1605546481 7 5 5 1
1605548185 8 5 5 1
1605548202 9 5 5 1
1605549170 10 5 5 1
1605551453 10 6 5 1
1605551623 10 7 5 1
1605552005 11 7 5 1
1605552010 12 7 5 1
1605556988 13 7 5 1
1605558027 14 7 5 1
1605558233 15 7 5 1
